,activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
228,tanh,20,20,0.001,32,rmsprop,0.82066277662913,0.004824322958868467
229,tanh,20,20,0.001,32,adam,0.8182261188824972,0.011470355019840568
230,tanh,20,20,0.001,32,sgd,0.68274853626887,0.02897049680723883
231,tanh,20,20,0.001,64,rmsprop,0.817251443862915,0.009770935075347523
232,tanh,20,20,0.001,64,adam,0.8138401508331299,0.005888401501185252
233,tanh,20,20,0.001,64,sgd,0.662768026192983,0.03163515194785893
234,tanh,20,20,0.01,8,rmsprop,0.82066277662913,0.006008203647564595
235,tanh,20,20,0.01,8,adam,0.8123781681060791,0.004969785635845018
236,tanh,20,20,0.01,8,sgd,0.8031189242998759,0.010291757102500503
237,tanh,20,20,0.01,32,rmsprop,0.8133528232574463,0.0045192900192244576
238,tanh,20,20,0.01,32,adam,0.8148148059844971,0.010152381575439497
239,tanh,20,20,0.01,32,sgd,0.7870370348294576,0.006994494227205399
240,tanh,20,20,0.01,64,rmsprop,0.8114035129547119,0.011387257898005829
241,tanh,20,20,0.01,64,adam,0.8118908206621805,0.007948099029643794
242,tanh,20,20,0.01,64,sgd,0.7982456088066101,0.003158243653189103
243,tanh,20,20,0.1,8,rmsprop,0.8143274784088135,0.01060991886369492
244,tanh,20,20,0.1,8,adam,0.8133528431256613,0.00794810024783801
245,tanh,20,20,0.1,8,sgd,0.8201754490534464,0.010406497232325682
246,tanh,20,20,0.1,32,rmsprop,0.8070175449053446,0.004774839925564425
247,tanh,20,20,0.1,32,adam,0.8133528232574463,0.005641224534345441
248,tanh,20,20,0.1,32,sgd,0.8157894810040792,0.013557925761237967
249,tanh,20,20,0.1,64,rmsprop,0.8143274784088135,0.01376651345290622
250,tanh,20,20,0.1,64,adam,0.8036062320073446,0.00776674720193665
251,tanh,20,20,0.1,64,sgd,0.81725146373113,0.010199036207605027
252,tanh,20,20,0.2,8,rmsprop,0.7880116899808248,0.022364136669718187
253,tanh,20,20,0.2,8,adam,0.7987329363822937,0.018544160409495622
254,tanh,20,20,0.2,8,sgd,0.8167641162872314,0.009648641903731324
255,tanh,20,20,0.2,32,rmsprop,0.7690058549245199,0.04792706127401778
256,tanh,20,20,0.2,32,adam,0.7928849856058756,0.02738601372125806
257,tanh,20,20,0.2,32,sgd,0.8084795276323954,0.009012289356096591
258,tanh,20,20,0.2,64,rmsprop,0.7012670437494913,0.042879458971465875
259,tanh,20,20,0.2,64,adam,0.7884990175565084,0.018735268306902385
260,tanh,20,20,0.2,64,sgd,0.8118908405303955,0.010152381575439497
261,tanh,20,20,0.3,8,rmsprop,0.7768031160036722,0.009648621833800957
262,tanh,20,20,0.3,8,adam,0.8109161655108134,0.009272066629491777
263,tanh,20,20,0.3,8,sgd,0.8157894810040792,0.009323181563104667
264,tanh,20,20,0.3,32,rmsprop,0.6588693857192993,0.026913642169598108
265,tanh,20,20,0.3,32,adam,0.7534113128980001,0.05220113434310702
266,tanh,20,20,0.3,32,sgd,0.8099415302276611,0.014073608870003007
267,tanh,20,20,0.3,64,rmsprop,0.6983430584271749,0.07945412310913431
268,tanh,20,20,0.3,64,adam,0.8021442492802938,0.02169573136802875
269,tanh,20,20,0.3,64,sgd,0.8045809070269266,0.01393796224427648
270,tanh,50,5,0.001,8,rmsprop,0.7295321623484293,0.02897048577815277
271,tanh,50,5,0.001,8,adam,0.6895711620648702,0.017718972574041578
272,tanh,50,5,0.001,8,sgd,0.5594541927178701,0.0814642241381651
273,tanh,50,5,0.001,32,rmsprop,0.7753411332766215,0.02002206008929794
274,tanh,50,5,0.001,32,adam,0.7582845886548361,0.03679902723735177
275,tanh,50,5,0.001,32,sgd,0.5886939565340678,0.05518670534587397
276,tanh,50,5,0.001,64,rmsprop,0.7933723131815592,0.006787707662694506
277,tanh,50,5,0.001,64,adam,0.7709551652272543,0.018582530676932926
278,tanh,50,5,0.001,64,sgd,0.4995126624902089,0.016937750991398586
279,tanh,50,5,0.01,8,rmsprop,0.8153021335601807,0.003646825646670311
